generation,age_in_income_year,n_unweighted,n_weighted,median_real,mean_real,p25_real,p75_real,birth_year_min,birth_year_max,birth_years_observed,income_year_min,income_year_max,generation_birth_years,coverage_share,fully_covered,meets_min_records
Gen X (1965-1980),22,27179,49092402.2900001,23249.496244733466,26810.350252046865,11579.122911955694,36812.17482435166,1965,1980,16,1987,2002,16,1,TRUE,TRUE
Gen X (1965-1980),23,28107,50573022.77000015,27699.476211261455,31444.44544986259,14985.860613395518,42363.90479369399,1965,1980,16,1988,2003,16,1,TRUE,TRUE
Gen X (1965-1980),24,28327,50400829.56999974,32698.44953832389,37348.87471030188,18769.919196167273,48881.42860810845,1965,1980,16,1989,2004,16,1,TRUE,TRUE
Gen X (1965-1980),25,28827,50782870.290000185,35591.418956814356,40449.830007508885,20545.69883769871,53186.29250177015,1965,1980,16,1990,2005,16,1,TRUE,TRUE
Gen X (1965-1980),26,29278,50188084.40999987,38765.72999389126,44298.78475936728,22735.937715309356,57229.52921780546,1965,1980,16,1991,2006,16,1,TRUE,TRUE
Gen X (1965-1980),27,30013,51127064.0800002,41004.6,46866.675442357,23447.342593554793,60238.382041474615,1965,1980,16,1992,2007,16,1,TRUE,TRUE
Gen X (1965-1980),28,30900,52014707.85000008,43084.349263512115,49901.1044797309,25281.997822102996,64050.18503981159,1965,1980,16,1993,2008,16,1,TRUE,TRUE
Gen X (1965-1980),29,32857,52807139.03000003,44517.920002004335,52809.767424089194,25788.85698030397,67051.02814879033,1965,1980,16,1994,2009,16,1,TRUE,TRUE
Gen X (1965-1980),30,33043,51500691.499999985,46272.69814614314,55457.57081802969,26826.341820846308,70110.14870627748,1965,1980,16,1995,2010,16,1,TRUE,TRUE
Gen X (1965-1980),31,33710,50558186.52999979,48098.15253434391,58848.271395395466,27453.072532975475,73360.40345071745,1965,1980,16,1996,2011,16,1,TRUE,TRUE
Gen X (1965-1980),32,34748,50609596.94000009,48671.48152882526,60363.196565946935,27838.410996339313,75153.36333491236,1965,1980,16,1997,2012,16,1,TRUE,TRUE
Gen X (1965-1980),33,34297,50987124.20000011,49077.10409439424,61368.17503163642,28203.83050235413,76585.75061419766,1965,1980,16,1998,2013,16,1,TRUE,TRUE
Gen X (1965-1980),34,35864,52375109.54000058,51577.71396060794,66530.36473906256,29654.733355585795,81165.63240170536,1965,1980,16,1999,2014,16,1,TRUE,TRUE
Gen X (1965-1980),35,36394,50902048.97999981,52249.679982262336,67985.06472034962,30061.345333964942,83075.52076985044,1965,1980,16,2000,2015,16,1,TRUE,TRUE
Gen X (1965-1980),36,35755,50641809.41999999,54088.97195806495,71074.1229900934,31401.108849428143,86131.22644365793,1965,1980,16,2001,2016,16,1,TRUE,TRUE
Gen X (1965-1980),37,35478,51267457.17000036,54238.27892173952,71613.36607302215,31306.138809237505,87267.38527937037,1965,1980,16,2002,2017,16,1,TRUE,TRUE
Gen X (1965-1980),38,34801,50579041.82999992,54704.107581569755,73629.87462016683,31729.75,89615.95244819882,1965,1980,16,2003,2018,16,1,TRUE,TRUE
Gen X (1965-1980),39,35132,52460124.77230008,55045.581483910544,74009.90157570272,31729.75,91143.19331816073,1965,1980,16,2004,2019,16,1,TRUE,TRUE
Gen X (1965-1980),40,33582,51205637.86330053,57092.92518077844,76271.52796699468,32670.32876514863,92516.93394639452,1965,1980,16,2005,2020,16,1,TRUE,TRUE
Gen X (1965-1980),41,32147,50778392.80119966,57394.587816935426,78138.35958576271,33106.42552821493,93279.81224337805,1965,1980,16,2006,2021,16,1,TRUE,TRUE
